country,month,debt_inf,debt_out,eq_inf,eq_out,fdi_inf,fdi_out,other_inf,other_out,port_inf,port_out
Belgium,1/1/1995,,,,,,,,,,
Belgium,2/1/1995,,,,,,,,,,
Belgium,3/1/1995,,,,,,,,,,
Belgium,4/1/1995,,,,,,,,,,
Belgium,5/1/1995,,,,,,,,,,
Belgium,6/1/1995,,,,,,,,,,
Belgium,7/1/1995,,,,,,,,,,
Belgium,8/1/1995,,,,,,,,,,
Belgium,9/1/1995,,,,,,,,,,
Belgium,10/1/1995,,,,,,,,,,
Belgium,11/1/1995,,,,,,,,,,
Belgium,12/1/1995,,,,,,,,,,
Belgium,1/1/1996,,,,,,,,,,
Belgium,2/1/1996,,,,,,,,,,
Belgium,3/1/1996,,,,,,,,,,
Belgium,4/1/1996,,,,,,,,,,
Belgium,5/1/1996,,,,,,,,,,
Belgium,6/1/1996,,,,,,,,,,
Belgium,7/1/1996,,,,,,,,,,
Belgium,8/1/1996,,,,,,,,,,
Belgium,9/1/1996,,,,,,,,,,
Belgium,10/1/1996,,,,,,,,,,
Belgium,11/1/1996,,,,,,,,,,
Belgium,12/1/1996,,,,,,,,,,
Belgium,1/1/1997,,,,,,,,,,
Belgium,2/1/1997,,,,,,,,,,
Belgium,3/1/1997,,,,,,,,,,
Belgium,4/1/1997,,,,,,,,,,
Belgium,5/1/1997,,,,,,,,,,
Belgium,6/1/1997,,,,,,,,,,
Belgium,7/1/1997,,,,,,,,,,
Belgium,8/1/1997,,,,,,,,,,
Belgium,9/1/1997,,,,,,,,,,
Belgium,10/1/1997,,,,,,,,,,
Belgium,11/1/1997,,,,,,,,,,
Belgium,12/1/1997,,,,,,,,,,
Belgium,1/1/1998,,,,,,,,,,
Belgium,2/1/1998,,,,,,,,,,
Belgium,3/1/1998,,,,,,,,,,
Belgium,4/1/1998,,,,,,,,,,
Belgium,5/1/1998,,,,,,,,,,
Belgium,6/1/1998,,,,,,,,,,
Belgium,7/1/1998,,,,,,,,,,
Belgium,8/1/1998,,,,,,,,,,
Belgium,9/1/1998,,,,,,,,,,
Belgium,10/1/1998,,,,,,,,,,
Belgium,11/1/1998,,,,,,,,,,
Belgium,12/1/1998,,,,,,,,,,
Belgium,1/1/1999,,,,,,,,,,
Belgium,2/1/1999,,,,,,,,,,
Belgium,3/1/1999,,,,,,,,,,
Belgium,4/1/1999,,,,,,,,,,
Belgium,5/1/1999,,,,,,,,,,
Belgium,6/1/1999,,,,,,,,,,
Belgium,7/1/1999,,,,,,,,,,
Belgium,8/1/1999,,,,,,,,,,
Belgium,9/1/1999,,,,,,,,,,
Belgium,10/1/1999,,,,,,,,,,
Belgium,11/1/1999,,,,,,,,,,
Belgium,12/1/1999,,,,,,,,,,
Belgium,1/1/2000,,,,,,,,,,
Belgium,2/1/2000,,,,,,,,,,
Belgium,3/1/2000,,,,,,,,,,
Belgium,4/1/2000,,,,,,,,,,
Belgium,5/1/2000,,,,,,,,,,
Belgium,6/1/2000,,,,,,,,,,
Belgium,7/1/2000,,,,,,,,,,
Belgium,8/1/2000,,,,,,,,,,
Belgium,9/1/2000,,,,,,,,,,
Belgium,10/1/2000,,,,,,,,,,
Belgium,11/1/2000,,,,,,,,,,
Belgium,12/1/2000,,,,,,,,,,
Belgium,1/1/2001,,,,,,,,,,
Belgium,2/1/2001,,,,,,,,,,
Belgium,3/1/2001,,,,,,,,,,
Belgium,4/1/2001,,,,,,,,,,
Belgium,5/1/2001,,,,,,,,,,
Belgium,6/1/2001,,,,,,,,,,
Belgium,7/1/2001,,,,,,,,,,
Belgium,8/1/2001,,,,,,,,,,
Belgium,9/1/2001,,,,,,,,,,
Belgium,10/1/2001,,,,,,,,,,
Belgium,11/1/2001,,,,,,,,,,
Belgium,12/1/2001,,,,,,,,,,
Belgium,1/1/2002,,,,,,,,,,
Belgium,2/1/2002,,,,,,,,,,
Belgium,3/1/2002,,,,,,,,,,
Belgium,4/1/2002,,,,,,,,,,
Belgium,5/1/2002,,,,,,,,,,
Belgium,6/1/2002,,,,,,,,,,
Belgium,7/1/2002,,,,,,,,,,
Belgium,8/1/2002,,,,,,,,,,
Belgium,9/1/2002,,,,,,,,,,
Belgium,10/1/2002,,,,,,,,,,
Belgium,11/1/2002,,,,,,,,,,
Belgium,12/1/2002,,,,,,,,,,
Belgium,1/1/2003,,,,,,,,,,
Belgium,2/1/2003,,,,,,,,,,
Belgium,3/1/2003,,,,,,,,,,
Belgium,4/1/2003,,,,,,,,,,
Belgium,5/1/2003,,,,,,,,,,
Belgium,6/1/2003,,,,,,,,,,
Belgium,7/1/2003,,,,,,,,,,
Belgium,8/1/2003,,,,,,,,,,
Belgium,9/1/2003,,,,,,,,,,
Belgium,10/1/2003,,,,,,,,,,
Belgium,11/1/2003,,,,,,,,,,
Belgium,12/1/2003,,,,,,,,,,
Belgium,1/1/2004,,,,,,,,,,
Belgium,2/1/2004,,,,,,,,,,
Belgium,3/1/2004,,,,,,,,,,
Belgium,4/1/2004,,,,,,,,,,
Belgium,5/1/2004,,,,,,,,,,
Belgium,6/1/2004,,,,,,,,,,
Belgium,7/1/2004,,,,,,,,,,
Belgium,8/1/2004,,,,,,,,,,
Belgium,9/1/2004,,,,,,,,,,
Belgium,10/1/2004,,,,,,,,,,
Belgium,11/1/2004,,,,,,,,,,
Belgium,12/1/2004,,,,,,,,,,
Belgium,1/1/2005,,,,,,,,,,
Belgium,2/1/2005,,,,,,,,,,
Belgium,3/1/2005,,,,,,,,,,
Belgium,4/1/2005,,,,,,,,,,
Belgium,5/1/2005,,,,,,,,,,
Belgium,6/1/2005,,,,,,,,,,
Belgium,7/1/2005,,,,,,,,,,
Belgium,8/1/2005,,,,,,,,,,
Belgium,9/1/2005,,,,,,,,,,
Belgium,10/1/2005,,,,,,,,,,
Belgium,11/1/2005,,,,,,,,,,
Belgium,12/1/2005,,,,,,,,,,
Belgium,1/1/2006,,,,,,,,,,
Belgium,2/1/2006,,,,,,,,,,
Belgium,3/1/2006,,,,,,,,,,
Belgium,4/1/2006,,,,,,,,,,
Belgium,5/1/2006,,,,,,,,,,
Belgium,6/1/2006,,,,,,,,,,
Belgium,7/1/2006,,,,,,,,,,
Belgium,8/1/2006,,,,,,,,,,
Belgium,9/1/2006,,,,,,,,,,
Belgium,10/1/2006,,,,,,,,,,
Belgium,11/1/2006,,,,,,,,,,
Belgium,12/1/2006,,,,,,,,,,
Belgium,1/1/2007,,,,,,,,,,
Belgium,2/1/2007,,,,,,,,,,
Belgium,3/1/2007,,,,,,,,,,
Belgium,4/1/2007,,,,,,,,,,
Belgium,5/1/2007,,,,,,,,,,
Belgium,6/1/2007,,,,,,,,,,
Belgium,7/1/2007,,,,,,,,,,
Belgium,8/1/2007,,,,,,,,,,
Belgium,9/1/2007,,,,,,,,,,
Belgium,10/1/2007,,,,,,,,,,
Belgium,11/1/2007,,,,,,,,,,
Belgium,12/1/2007,,,,,,,,,,
Belgium,1/1/2008,10.84857,6.00491,-0.62845,-5.87981,33.39641,0.42535,81.56666,90.18988,10.22012,0.12510
Belgium,2/1/2008,3.24464,-4.68114,0.05899,3.77411,3.16500,0.01770,-3.67530,0.83476,3.30364,-0.90703
Belgium,3/1/2008,-1.81505,-7.34094,0.47977,-1.02475,4.42351,-0.55740,-52.84144,-58.80207,-1.33528,-8.36569
Belgium,4/1/2008,9.28492,-0.57332,2.72956,5.75838,3.43046,8.31311,66.31591,56.92546,12.01448,5.18506
Belgium,5/1/2008,6.49660,10.07938,-1.56659,-0.20691,-0.60050,0.21313,-17.24338,-6.68173,4.93001,9.87247
Belgium,6/1/2008,-3.92396,9.23834,-0.02955,-4.80891,12.61329,1.76368,-3.83842,-13.11564,-3.95351,4.42943
Belgium,7/1/2008,7.83439,6.06976,-0.79164,-5.46420,12.30352,1.69051,19.60647,17.71410,7.04275,0.60556
Belgium,8/1/2008,-7.37987,2.17443,0.07787,2.08757,6.40497,0.54810,12.22440,-0.82814,-7.30200,4.26199
Belgium,9/1/2008,7.40748,4.52064,-0.57334,-7.72935,4.92443,-0.22560,21.91636,25.32337,6.83413,-3.20871
Belgium,10/1/2008,15.96919,-1.40282,3.47440,-8.33696,13.34074,-15.90791,-189.77051,-137.79970,19.44359,-9.73978
Belgium,11/1/2008,2.67121,13.26690,3.16394,-2.68139,7.98688,-0.52202,23.49591,1.05295,5.83514,10.58551
Belgium,12/1/2008,-11.70907,-6.10739,2.42090,-7.29094,33.61282,30.43068,-52.08157,-56.12447,-9.28818,-13.39832
Belgium,1/1/2009,11.63150,-4.60441,-0.93862,-4.15165,1.96727,1.54363,-22.50839,-8.28079,10.69287,-8.75606
Belgium,2/1/2009,3.03764,-7.81784,-0.82206,0.50627,3.01208,4.27648,-34.55960,-24.76141,2.21559,-7.31157
Belgium,3/1/2009,-2.84095,0.83649,-0.37975,-5.39088,2.00315,0.45544,-11.53213,-7.66285,-3.22070,-4.55439
Belgium,4/1/2009,9.38226,-5.56894,-1.73189,4.00721,7.01460,-9.11714,-20.99236,-4.05866,7.65037,-1.56173
Belgium,5/1/2009,-4.19342,-3.08773,0.42043,-1.51247,2.59495,1.12480,-36.32658,-33.08596,-3.77298,-4.60020
Belgium,6/1/2009,-2.42485,1.18299,-0.40087,-3.57840,14.01925,3.00232,0.40227,4.06337,-2.82572,-2.39541
Belgium,7/1/2009,14.08066,4.29393,0.12679,4.07557,3.87412,3.45571,-29.16577,-8.25398,14.20745,8.36950
Belgium,8/1/2009,10.53692,0.57643,-0.08133,-1.07866,2.07171,4.08065,-25.28575,-19.34170,10.45559,-0.50223
Belgium,9/1/2009,5.80864,3.14677,0.08155,0.30434,2.43325,4.80971,15.41495,15.01014,5.89018,3.45111
Belgium,10/1/2009,2.00021,-0.67711,-0.02371,0.56006,2.77510,3.39591,-9.91066,-6.53994,1.97650,-0.11705
Belgium,11/1/2009,-14.76683,-1.63910,0.62492,0.16257,1.75394,3.04703,-2.30280,-4.29537,-14.14191,-1.47653
Belgium,12/1/2009,-7.81389,-1.85446,-0.06868,2.53692,17.20458,11.12094,-21.46298,-18.99767,-7.88257,0.68245
Belgium,1/1/2010,17.64888,1.96670,0.00999,-0.35109,3.76498,-1.74976,-42.70926,-16.91815,17.65887,1.61560
Belgium,2/1/2010,2.21024,3.66092,-0.44615,0.61449,4.26720,-13.47905,-8.89160,-2.42784,1.76409,4.27541
Belgium,3/1/2010,-7.94165,2.19132,-0.35278,0.31208,7.70285,3.02985,2.00543,0.89959,-8.29444,2.50339
Belgium,4/1/2010,7.21495,2.05912,0.07373,-0.77083,3.65037,1.21456,2.44520,-1.16630,7.28868,1.28829
Belgium,5/1/2010,-9.88263,-2.24291,0.80795,-4.77608,4.02468,2.69401,31.60557,23.72209,-9.07468,-7.01899
Belgium,6/1/2010,-6.03466,-5.36564,0.48590,1.03040,5.74044,4.81015,4.51348,9.53972,-5.54876,-4.33524
Belgium,7/1/2010,2.02788,-2.99840,-0.09450,-0.19155,11.83907,-1.57710,-33.64129,-23.09965,1.93338,-3.18995
Belgium,8/1/2010,2.82769,-3.69805,0.12765,3.05076,14.59363,1.42739,10.95618,16.87075,2.95535,-0.64729
Belgium,9/1/2010,-10.94623,-1.02837,-2.18480,2.24360,3.68489,1.91562,-14.51613,-17.46274,-13.13103,1.21523
Belgium,10/1/2010,-3.35632,2.17779,-0.07644,2.67811,2.57387,1.75112,-8.89321,-9.69511,-3.43276,4.85590
Belgium,11/1/2010,-1.66664,2.45897,-0.40300,3.72397,2.03548,2.61471,9.39873,5.29908,-2.06963,6.18295
Belgium,12/1/2010,-11.77914,-3.00626,-1.80587,-0.83551,35.47225,17.24302,-1.24401,-0.63060,-13.58501,-3.84177
Belgium,1/1/2011,5.88093,-5.22897,0.03340,-2.41008,3.63116,0.12291,-26.46016,-16.74768,5.91433,-7.63906
Belgium,2/1/2011,5.27805,-1.43177,-2.47865,-0.24295,14.23176,17.44745,8.18255,11.80361,2.79940,-1.67473
Belgium,3/1/2011,-0.77275,0.31638,1.13113,-1.98648,5.68086,8.10832,-16.85080,-10.25859,0.35838,-1.67010
Belgium,4/1/2011,2.04351,-1.30987,-1.49328,3.30717,-4.09858,-7.77690,14.80139,15.45272,0.55023,1.99730
Belgium,5/1/2011,7.01075,3.14666,0.94701,-0.22527,4.02910,0.78631,5.59597,1.21533,7.95776,2.92138
Belgium,6/1/2011,-15.70063,0.96258,-0.25755,-0.47194,9.01290,-1.84891,-3.61293,0.58705,-15.95819,0.49064
Belgium,7/1/2011,-1.01134,-3.18094,-0.52493,1.98559,33.07033,37.87026,13.14882,26.44742,-1.53626,-1.19535
Belgium,8/1/2011,-4.30153,1.00689,-0.83764,-6.05427,-1.88470,1.87179,23.74807,20.14505,-5.13918,-5.04738
Belgium,9/1/2011,-5.07562,-5.20644,-0.70502,0.91846,1.07406,2.88206,44.19344,34.17852,-5.78065,-4.28798
Belgium,10/1/2011,1.38708,-0.78126,0.30565,-0.35088,-0.26453,-36.43691,-34.35492,-38.84100,1.69273,-1.13214
Belgium,11/1/2011,-1.01668,-0.42429,-1.55620,-5.71645,-16.40650,43.16416,-14.12372,-2.57694,-2.57288,-6.14075
Belgium,12/1/2011,-17.15253,15.24157,0.54825,2.36828,7.34996,9.25169,20.38404,-10.48262,-16.60429,17.60985
Belgium,1/1/2012,2.15511,-12.22865,1.41953,2.70615,11.11754,-0.50200,-7.87971,3.20686,3.57465,-9.52250
Belgium,2/1/2012,-0.26580,-3.26768,0.34118,0.33192,2.53374,-2.28645,-8.94610,2.18198,0.07538,-2.93575
Belgium,3/1/2012,7.01501,-8.98724,0.37359,5.02562,9.88623,-0.18481,-35.22555,-25.57430,7.38860,-3.96162
Belgium,4/1/2012,1.35171,-4.28546,-1.60047,3.13513,0.52515,0.89368,-6.71380,-2.44150,-0.24876,-1.15034
Belgium,5/1/2012,2.84937,-1.77382,-0.50516,-1.72139,-0.26601,2.94912,38.55728,41.00636,2.34421,-3.49521
Belgium,6/1/2012,-1.69230,-1.66850,-0.49228,-2.11820,4.35289,10.68367,-28.18039,-25.45342,-2.18458,-3.78670
Belgium,7/1/2012,2.62236,-3.29576,-0.06636,2.67028,7.52790,0.06144,-5.97956,1.13300,2.55600,-0.62548
Belgium,8/1/2012,6.00282,-2.31755,1.77691,-0.70432,6.01522,6.44302,-11.74028,-11.96720,7.77973,-3.02187
Belgium,9/1/2012,-0.88319,-8.27907,0.04114,1.09531,-10.05573,-2.61356,10.03773,6.51013,-0.84205,-7.18376
Belgium,10/1/2012,2.83356,-10.91647,1.36099,0.19332,-50.29826,0.38404,-5.11961,-2.35351,4.19455,-10.72315
Belgium,11/1/2012,9.76575,1.83693,0.31813,0.31043,9.64132,9.49380,-16.69401,-4.90276,10.08388,2.14736
Belgium,12/1/2012,-14.07052,-0.12595,0.66646,2.89151,-2.95842,7.88474,-6.56624,-25.95274,-13.40406,2.76556
Belgium,1/1/2013,16.76819,0.23520,1.13480,3.13465,-3.32068,8.06053,-15.00752,-1.78857,17.90299,3.36985
Belgium,2/1/2013,1.35461,-0.72139,-0.87903,0.24848,2.25501,3.52011,2.66246,10.93973,0.47558,-0.47291
Belgium,3/1/2013,7.31017,-1.79935,-2.94144,0.66633,1.24321,0.71559,5.43693,4.37781,4.36873,-1.13302
Belgium,4/1/2013,1.15280,-0.40381,1.60480,2.46843,1.19188,2.00470,-1.51232,7.66189,2.75760,2.06462
